# ObsMCLauncher MOD翻译文件
# 格式：curseforge_id|mod_ids|chinese_name|abbr
# 数据来源：mcmod百科 + HMCL + PCL2 融合
#
end-metals||End Metals|
end-ores|endores|End Ores|
end-origins|end_origins|End Origins|
end-reborn-expansion|end_reborn|End Reborn|
end-villager-trader|end_villager_trader|End Villager Trader|
end-upgrade|idi_naxui_suca|End upgrade|
ends-delight-bedrock-unofficial-port||End's Delight Bedrock (Unofficial Port)|
phantasm|phantasm|End's Phantasm|
endbiome|endbiome|EndBiome|
endemic|endemic|Endemic|
ender-chested|ender_chested|Ender Chested|
enderchests|enderchests|Ender Chests|
ender-crop|endercrop|Ender Crop|
ender-dragon-egg-respawn-fabric|ender_dragon_egg_respawn|Ender Dragon Egg Respawn|
|edf_remastered_mr,mr_edf_remastered|Ender Dragon Fight Remastered|
ender-dragon-loot|ender_dragon_loot_|Ender Dragon Loot|
ender-dragon-fix|dragon_tweak|Ender Dragon Tweak|
ender-knight|enderknight|Ender Knight!|
ender-moon|endermoon|Ender Moon|
ender-ore|enderore|Ender Ore|
ender-pearl-anti-disappear|pearlad|Ender Pearl AD|
ender-pearl-swap|enderpearlswap|Ender Pearl Swap|
ender-relay|ender_relay|Ender Relay|
ender-totem|endertotem|Ender Totem|
ender-trigon|endertrigon|Ender Trigon|
endertweaker|endertweaker|Ender Tweaker|
ender-wyrmlings|ender_wyrmlings|Ender Wyrmlings|
enders-spellsandstuff|gtbcs_spell_lib|Ender's Spells and Stuff|
enderbags|ender_bags|EnderBags|
enderdrives|enderdrives|EnderDrives|
enderio-alloys|enderioalloys|EnderIO Alloys|
enderio-continuous||EnderIO Continuous|EIOC
enderio-fluxified|enderiofluxified|EnderIO Fluxified|
enderpack|enderpack|EnderPack|
enderzoo-patched||EnderZoo : Patched|
enderbeetles|ender_beetles|Enderbeetles|
enderfake|enderban|Enderfake|
enderite-cj-edition|enderite|Enderite CJ Edition|
enderites-delight|enderitesdelight|Enderite's Delight|
enderlicious|enderlicious|Enderlicious|
enderling-invaders|enderlinginvaders|Enderling Invaders|
|shut_up_enderman|Enderman Death Silence|
enderman-evolution|endermanevo|Enderman Evolution|
|enderman_tweaks|Enderman Tweaks|
endermen-plus|endermenplus|Endermen Plus|
|mr_endermite_expansion|Endermite Expansion|
enderscape|enderscape|Enderscape|
enderswords|enderswords|Enderswords|
endertech-infinity|endertechinf|Endertech Infinity|
endertech-infinity|endertechinfinity|Endertech Infinity - 已失效|
|enderstimecontrol|Ender的时间控制|ETC
|ending_biomes|Ending Biomes|
endless-noend|endless|Endless / NoEnd|
endless-biomes|endlessbiomes|Endless Biomes|EB
endless-ocean-aquatic-adventures|endlessocean|Endless Ocean: Aquatic Adventures|EO
endlessids|endlessids|EndlessIDs|
enemy-expansion|enemy_expansion,enemyexpansion|Enemy Expansion|
energizexp|rfxp|EnerGizeXP|
energized-power|energizedpower|Energized Power|
|team_reborn_energy|Energy|
energymeter|energymeter|Energy Meter|
energy-nodes|energynodes|Energy Nodes|
engineers-construct|engineers_construct|Engineer's Construct|
engineered-compatibility|engineeredcompatibility|Engineered Compatibility|
engineered-golems|EngineeredGolems|Engineered Golems|
engineered-schematics|engineered_schematics|Engineered Schematics|
engineers-delight|tmted|Engineers Delight|
engineers-workshop-reborn|engineersworkshop|Engineers Workshop Reborn|
enhanced-ai|enhancedai|Enhanced AI|
enhanced-annihilation-planes|enhanced_annihilation_planes|Enhanced Annihilation Planes|
enhanced-biomes|enhancedbiomes|Enhanced Biomes|
enhanced-block-entities-reforged-unofficial|enhancedblockentities|Enhanced Block Entities Reforged|
|enhancedbookwriting|Enhanced Book Writing|
enhanced-celestials-mobifier-integration|enhanced_celestials_mobifier_integration|Enhanced Celestials Mobifier Integration|
enhanced-glass|enhanced_glass|Enhanced Glass|
enhanced-hordes||Enhanced Hordes|
enhancedsnowman|enhanced_snowman|Enhanced Snowmen|
|enhancedweather|Enhanced Weather|
enhancedlootbags|enhancedlootbags|EnhancedLootBags|
enhancedtooltips|enhancedtooltips|EnhancedTooltips|
|enhancermod|Enhancer|
enigtech2-util|etutil|EnigTech2 Util|
enigmatic-graves|enigmaticgraves|Enigmatic Graves|
enigmatic-unity|enigmaticunity|Enigmatic Unity|
|ebe|EnlightenedBlockEntities|EBE
ennuis-bigger-inventories|ennuis_bigger_inventories|Ennui's Bigger Inventories|EBI
entangled|entangled|Entangled|
entangled-fix|entangledfix|Entangled Fix|
entity-collision-fps-fix|entitycollisionfpsfix|Entity Collision FPS Fix|
|entity-desync-viewer|Entity Desync Viewer|EDV
entity-detectors|entitydetectors|Entity Detectors|
entity-lagfix-lag-fix|LagFix|Entity LagFix|
entity-outliner|entityoutliner|Entity Outliner|
|entityrenderdisabler|Entity Render Disabler|
entity-render-distance-extender|erde|Entity Render Distance Extender|ERDE
entity-view-distance|entity-view-distance|Entity View Distance|
entity-specific-damage-invulnerability|entityspecificinvulnerability|Entity-specific Damage Invulnerability|
entityjs|entityjs|EntityJS|
|entityrectify|EntityRectify|
entris|entris|Entris: Enchanting Tetris|
entropy|entropy|Entropy: Chaos Mod|
enum-extender-js|enum_extender_js|EnumExtenderJS|
|envirosound|EnviroSoundBeta|
environmentz|environmentz|EnvironmentZ|
environmental-core|envirocore|Environmental Core|
|environmentalcreepers|Environmental Creepers Unofficial Backport|
environmental-expansion|environmentalexpansion|Environmental Expansion|EE
environmental-materials|enviromats|Environmental Materials|
environmental-rads|ncenvironmentalrads|Environmental Rads|EnvRads
environs-mod|environs|Environs|
envirorot|envirorot|Envirorot|
ephemera|ephemera|Ephemera|
epherolib|epherolib|EpheroLib|
epic-compat-parcool|epiccompat_parcool|Epic Compat: ParCool|
epic-empires|epicempires|Epic Empires|
epic-empires||Epic Empires - 已失效|
epic-fight-avalon|epic_fight_avalon|Epic Fight - Avalon|
ef-bs|epic_fight_battle_styles|Epic Fight - Battle Arts|
epic-fight-dual-axes|efds|Epic Fight - Dual Axes|
epic-fight-dual-spears|efds|Epic Fight - Dual Spears|
epic-fight-infernal-gainer|infernal|Epic Fight - Infernal Gainer|
epic-fight-mod-rapier-moveset-addon|refm|Epic Fight - Rapier Moveset Addon|REFM
epic-fight-super-chef|super_chef|Epic Fight - Super Chef|
epic-fight-valour-guard|valourguard|Epic Fight - Valour Guard|
epic-fight-impactful|impactful|Epic Fight - impactful|
epic-fight-bow-tweak|efbowtweak|Epic Fight Bow Tweak|
epic-fight-nbt-integration|fightnbtintegration|Epic Fight NBT Integration|
epic-fight-x-irons-spells-animation-fix|efiscompat|Epic Fight x Iron's Spells Animation Fix|
|mr_epic_fightxspartanweaponry|Epic Fight x Spartan Weaponry|
epic-fight-x-wings-reborn-animation-fix|efwingscompat|Epic Fight x Wings Reborn Animation Fix|
epic-fight-kenjis-combat-forms|kenjiscombatforms|Epic Fight: Kenji's Combat Forms|
epic-knights-japanese-armory|epic_knights__japanese_armory|Epic Knights : Japanese Armory|
ars-knightsnmages|knightsnmages|Epic Knights'n'Mages|
epic-knights-addon|magistuarmoryaddon|Epic Knights: Addon|
epic-knights-antique-legacy|antiquelegacy|Epic Knights: Antique Legacy|
epic-knights-ice-and-fire|epic_knights_ice_and_fire|Epic Knights: Ice and Fire|
epic-knights-slavic-armory|slavicarmory|Epic Knights: Slavic Armory|
epic-mob-siege-nightmare|nightmareesm|Epic Mob Siege: Nightmare|EMSN
epic-paladins|arclight|Epic Paladins|
epic-psi|epicpsi|Epic Psi|
epic-puss-in-boots|epicpussinboots|Epic Puss In Boots|
epic-sanji|efmpirates|Epic Sanji|
|mr_epic_spartanweaponry|Epic Spartan Weaponry|
epic-stats|epic_stats|Epic Stats|
epic-villages|epic_villages|Epic Structures: Villages|
epic-structures-witch-huts|epicwitchhuts|Epic Structures: Witch Huts|
epic-terrain-compatible|mr_epic_terrain_compatible|Epic Terrain Compatible|
epic-tweaks|epictweaks|Epic Tweaks|
epic-vinland-saga|epicvinlandsaga|Epic Vinland Saga|
epicdmcbossdante|epicdmcbossdante|EpicDMCBossDante|
epiceldenringweaponsarmorandmobs|epiceldenringweaponsarmorandmobs|EpicEldenRing|
epic-fightexsilium-gladius|epicfightexsiliumgladius,exsiliumgladius|EpicFight—放逐之刃|
epicsoulsbosses|epicsoulsbosses|EpicSoulsBosses|
|epiczoomer|EpicZoomer|
epicfight-dual-greatsword|efdg|Epicfight - Dual GreatSword|
epicfight-auto-shouldersurfing|autosurfing|Epicfight Auto ShoulderSurfing|
epitaphs|epitaphs|Epitaphs|
equaldragons||EqualDragons|
|equator|Equator|
equiped|equiped|Equiped|
equippable-utilities|supplementaryaccessories|Equippable utilities|
equivalentexchange|equivalentexchange|Equivalent Exchange / Equivalent Exchange 4|
eguilib|eguilib|Erdbeerbaer's GUI Library|
retail|retail|Eric's Retail|
erinium-automation|erinium_automation|Erinium Automation|
eroding-stone-entities|erodingstoneentities|Eroding Stone Entities|
error-404-not-found-horror-entity|glitchmanv|Error 404 Not Found (Horror Entity)|
erroring-entity-remover|eer|Erroring Entity Remover|
erroring-entity-remover-reforged|eerreforged|Erroring Entity Remover Reforged|
erudite-tweaks|eruditetweaks|Erudite Tweaks|
escape-rope-pokemon-item-forge|escaperope|Escape Rope - Item Pokemon|
esencia|esencia|Esencia|
esoteric-reforging-forge|esotericreforging|Esoteric Reforging|
essence-mod|essence|Essence|
essential-commands|essential_commands|Essential Commands|
essential-features|essentialfeatures|Essential Features|
|essentialaddons|EssentialAddons|
|essential-client|EssentialClient|
essentialcraft-magic-reflux||EssentialCraft Magic Reflux|
essentialgui|essentialgui|EssentialGUI|
essentials|essentials|Essentials|
etcetera|etcetera|Etcetera|
etched|etched|Etched|
|etched_extension|Etched extension|
killmods|killmods|Eternal / KillMods|
eternal-attributes|eternal_attributes|Eternal Attributes|
eternal-eats|eternaleats|Eternal Eats|
eternal-limbo|eternallimbo|Eternal Limbo|
eternalpotions|eternalpotions|Eternal Potions|
eternal-starlight-vanilla-ores|eternal_starlight_vo|Eternal Starlight Vanilla Ores|
eternal-winter|eternalwinter|Eternal Winter|
etheria|etheria|Etheria|
etherology|etherology|Etherology|
eugenes-guan-dao|eugenes_guan_dao|Eugene's Guan Dao|
eugenes-lance|eugenes_lance|Eugene's Lance|
eugenes-wealthy-plains-village|mr_eugenes_wealthyplainsvillage|Eugene's Wealthy Plains Village|
|Euphoria Companion|Euphoria Companion|
euphoria-patches|euphoria_patcher,euphoria_patches|Euphoria Patches / Euphoria Patcher|EP
eureka,eureka-ships|eureka,vs_eureka|Eureka|
european-wildlife|europeanwildlife|European Wildlife|
|mr_evaporated_waterfalls|Evaporated Waterfalls|
evasive-items|evasiveitems|Evasive Items|
even-better-nether|evenbetternether|Even Better Nether|
even-more-instruments|evenmoreinstruments|Even More Instruments!|
even-more-realistic-ore-veins|realistic_ore_veins|Even More Realistic Ore Veins|
even-more-tnt|motnt|Even More TNT|
even-more-creatures-mod|extracreatures|Even more Creatures Mod|
eventjs|eventjs|EventJS|
|el|EventLib|EL
|eventtweaker|EventTweaker|evt
eventslib|eventslib|EventsLib|
|evergreen|Evergreen|
evergreenhud|evergreenhud|EvergreenHUD|
everlasting-skins|everlastingskins|Everlasting Skins|
gems-realm|gemsrealm|Every Compat (Gems Realm)|
library-section||Every Compat (Library Section)|
everymole|every_mole|EveryMole - Alex Caves Addon|
everything-as-a-hat|everythingasahat|Everything as a Hat|
everything-as-a-hat||Everything as a Hat - 已失效|
|everything-is-tnt|Everything is TNT|
everything-is-a-hat|everythingisahat|Everything is a Hat|
evil-captcha|captcha|Evil Captcha|
evil-ores|evil-ores|Evil Ores|
evil-regeneration|evilregeneration|Evil Regeneration|
evilnotchlib|evilnotchlib|EvilNotch Lib|
evocation|evocation|Evocation|
evocation-and-annihilation|evocationandannihilation|Evocation🧙‍♂️ and Annihilation💣!!|
evoodooers|Evoodooers|Evoodooers|
ex-aliquo|exaliquo|Ex Aliquo|
ex-fusile|ExFusile|Ex Fusile|
|exhud|Ex HUD|
|exlcore|Ex Life Core|EXLC
ex-machinis|exmachinis|Ex Machinis/Ex Machinis: Divitiae Deorum|
ex-nihilo-extras|exnihiloextras|Ex Nihilo Extras|
ex-nihilo-fabricio|ex-nihilo-fabricio|Ex Nihilo Fabricio|
ex-sartagine-requiem|exsartagine|Ex Sartagine Requiem|
|exblades|ExBlades|
excalibur-the-mighty-sword|excalibur|Excalibur: The Mighty Sword|
excavated-variants|excavated_variants|Excavated Variants|
excessive-building|excessive_building|Excessive Building|
exchange-fuels|efuels|Exchange Fuels|
exclusions-lib|exclusions_lib|Exclusion Lib|
excore|excore|Excore|
excorrelation|exco|Excorrelation|Exco
|executive|Executive|
exhaustion-fatigue|exhaustion_fatigue|Exhaustion Fatigue|
exlines-bark-carpets|barkcarpets|Exline's Bark Carpets|
exlines-candy-mod|candymod|Exline's Candy Mod|
copper-equipment|exlinecopperequipment|Exline's Copper Equipment|
exlines-emerald-equipment|emeraldequipment|Exline's Emerald Equipment|
exlines-fishing|exlinefishing|Exline's Fishing|
exlines-furniture|exlinefurniture|Exline's Furniture Mod|
exlines-more-carpets|morecarpets|Exline's More Carpets|
exlines-snorkel-mod|snorkelmod|Exline's Snorkel Mod|
exordium|exordium,fastergui|Exordium|
exotelcraft|exotelcraft|Exotelcraft|
exotic-critters|experimental_m|Exotic critters|
exp-chest|expchest|Exp Chest|
expandability|expandability|ExpandAbility|
expanded-ae|expandedae|Expanded AE|
expanded-combat|expanded_combat|Expanded Combat|
expanded-enderchest|expandedenderchest|Expanded Enderchest|
expanded-experience|expanded_experience|Expanded Experience|
expanded-mace-enchanting|expanded_mace_enchanting|Expanded Mace Enchanting|
expandedworld|expandedworld|Expanded World|
expandedbonemeal|expandedbonemeal|ExpandedBonemeal|
expanding-technologies|expandingtechnologies|Expanding Technologies|
|expansive_lighting|Expansive Lighting|
expansive-weaponry|exw|Expansive Weaponry|EXW
experience-bottler|experiencebottler|Experience Bottler|
experience-farm|xp_farm|Experience Farm|
experience-ores|expore|Experience Ores|
|experienceprogress|Experience Progress|
|experience_shards_mr|Experience Shards|
experiencelib|experiencelib|ExperienceLib|
experienced-crops|experienced_crops|Experienced Crops|
experimental-mobs|cartoon_soul|Experimental Mobs|
another-experiment-researcher|labyrinth|Experimental bosses|
|Explodables|Explodables|
|explodee|Explodee|
|ExploitFix|ExploitFix|
explorations|explorations|Explorations|
explore-ruins-aether||Explore Ruins: The Aether - Dungeons & Structures|
explorers-delight|exdel|Explorer's Delight|
explorify|explorify,explorify-fabric|Explorify – Dungeons & Structures|
explosion-overhaul-a-new-level-of-destruction|explosionoverhaul|Explosion Overhaul: A new level of destruction|
explosiont|explosiont|Explosion't|
explosive-enhancement-reforged|explosiveenhancement|Explosive Enhancement: Reforged|
explosives-i-approve|throwmod|Explosives|
exposer|exposer|Exposer|
re-exposer|exposer,reexposer|Exposer 重置版|
exposure-catalog|exposure_catalog|Exposure Catalog|
exposure-polaroid|exposure_polaroid|Exposure: Polaroid|
exspiravit-magicae||Exspiravit Magicae|
extended-armor-bars|extended_armor_bars|Extended Armor Bars|
fabric-extended-armor-bars-forked|extendedarmorbars|Extended Armor Bars Forked|
extended-bone-meal|extendedbonemeal|Extended Bone Meal|
extended-caves|extcaves|Extended Caves / Expanded Caves [Forge]|
extended-clouds|extendedclouds|Extended Clouds|
extended-crafting-terminals-for-applied|ae2exttable|Extended Crafting Terminals for Applied Energistics 2|
extended-drawers|extended_drawers|Extended Drawers|
extended-illagers-mod|eim|Extended Illagers Mod|
extended-industrialization|extended_industrialization|Extended Industrialization|EI
extended-item-information|eii|Extended Item Information|
extended-mushrooms|extendedmushrooms|Extended Mushrooms|
extended-nether-backport|extendednether|Extended Nether Backport|
extended-potions|ExtendedPotions|Extended Potions|
extended-reach||Extended Reach|
extended-scripts|extendedscripts|Extended Scripts|
extended-slabs-plus|extendedslabs|Extended Slabs +|
|extendedbookshelves|Extended bookshelves|
|extendedae_plus|ExtendedAE Plus|EAEP
extendeddrawersaddon|extendeddrawersaddon|ExtendedDrawersAddon|
external-tweaker|externaltweaker|External Tweaker|
external-view-reload|externalview|External View Reload|
extinction-z|extinction|Extinction Z|
extra-achievements|extraachievements|Extra Achievements|
extra-addition-s|extra_additions|Extra Additions|
extra-apoth-compat|extra_apoth_compat|Extra Apoth Compat|
extra-armor-info|extra_armor_info|Extra Armor Info|
|extrabiomes|Extra Biomes|
extra-bit-manipulation|extrabitmanipulation|Extra Bit Manipulation|EBM
extra-boats|extra_boats|Extra Boats|
extra-carts|extracarts|Extra Carts|
extra-classes-origins|extra_classes_origins|Extra Classes - Origins|
extra-coals|extracoals|Extra Coals|
extra-compat|extra-compat|Extra Compat|
extra-crafting-storage|ExtraCraftingStorage|Extra Crafting Storage|
extra-creeper-types|excp|Extra Creeper Types|
extra-damage-enchantments|extra-damage-enchantments|Extra Damage Enchantments|ExtraDE
|extradebug|Extra Debug|
extra-discs|extra-discs|Extra Disc|
extra-gore|extragore|Extra Gore|
extra-inventory|extrainv|Extra Inventory|
extra-meat|extrameat|Extra Meat|
extra-mining-world|miningworld|Extra Mining World|
extra-spell-attributes|extraspellattributes|Extra RPG Attributes|
extra-tan|extratan|Extra TAN|
extra-trades|extratrades|Extra Trades|
extra-trinkets|extra_trinkets|Extra Trinkets|
another-origins-mod|extra-extra-origins,more_dragonkin|Extra-Extra Origins|
extradetails|extradetails|ExtraDetails|
extrae|extrae|ExtraE|
|kazz.extraincendium|ExtraIncendium|
extraskills|extraskills|ExtraSkills|
extrasounds|extrasounds|ExtraSounds|
extrasounds-forge|extrasounds|ExtraSounds Next|
extract-poison|extractpoison|Extract Poison|
extraordinary-extra-totems|extraordinary_extra_totems|Extraordinary Extra Totems|
|carystanley_extremefarming|Extreme Farming|
extreme-horde-moon|extremehordemoon|Extreme Horde Moon|
extreme-reactors-create-compat|er2create|Extreme Reactors Create Compat|
extreme-sound-muffler|extremesoundmuffler|Extreme Sound Muffler|ESM
extreme-sound-muffler-legacy||Extreme Sound Muffler: Legacy|ESM:Legacy
|extremeview|ExtremeView|
|simplefix|ExtremelySimpleFix|
eyes-mod|eyes|Eye Blocks|
eye-collector-mod|eyecollectormod|Eye Collector|
eye-spy|eyespy|Eye Spy|
eye-of-dragons|eyeofdragons|Eye of Dragons|
eyemod-phone|eyemod|EyeMod|
|eyelib|Eyelib|
|lunar_eyes|Eyes In The Sky|
eyes-in-the-darkness|eyesinthedarkness|Eyes in the Darkness|
eyes-in-the-shadows|eyesintheshadows|Eyes in the Shadows|
eyes-of-ice-and-fire|eyesoficeandfire|Eyes of Ice and Fire|
eypipes|eypipes|Eypipes|
ez-mod-lib|ezmodlib|Ez Mod Lib|
|fuckclientmodscore|F**kClientMods|FCM
f3-is-my-shawty|f3ismyshawty|F3 Is My Shawty|
f3-lite|f3lite|F3 Lite|
|f3scale|F3Scale|
f5-begone|f5begone|F5 Begone|
|faqv|FAQ 村民!|faqv
fclib|fclib|FC: Library|
|fconfiglib|FConfigLib|
fdlib|fdlib|FDLib|
free-epic-games|freeepicgames|FE 游戏框架|FEG
forever-enough-items|FEI,foreverenoughitems|FEI物品管理器|FEI
yan-from-ff14|m6syan,yanfromff14|FF14的羊|
ffl-trinkets-compat|ffl-trinkets-compat|FFL Trinkets Compat|
|pingfix|FIX MY PINGGGGG|
flib|flib|FLIB|
|fluiwid|FLUIwID|
|equivalentenergistics|FMEquivalent Energistics|FMEE
fmprojecte-advanced-alchemy-fmpeaa|PEAA|FMProjectE Advanced Alchemy|FMPEAA
|fmum|FMUM 2.0|FMUM
management-wanted|management_wanted|FNAF Management Wanted|
fpsdisplay|fpsdisplay|FPS - Display|
fps-boost|betterfps|FPS Boost|
better-fps|betterfps|FPS Boost - 已失效|
fps-display-doubler|fpsdisplaydoubler|FPS Display Doubler|
fps-monitor|fps|FPS Monitor|
|frametothetrash|FPS to the Trash|
|fps15|FPS++|
fpsplus-lagfixes|fpsplus,fpspluslagfixes|FPS优化|
fpspluslf|fpsplus|FPS优化Legacy Fabric版|
fps-reducer|fpsreducer|FPS减速器|
fps-reducre-for-fabric||FPS减速器 (Fabric)|
fps-reducre-for-fabric|fpsreducreforfabric|FPS减速器（Fabric）|
fpv20|fpv20|FPV20|
fexs-random-stuff-mod|frsm|FRSM - Fex's Random Stuff Mod|FRSM
frv-tools|frv|FRV Tools|
flaxbeards-steam-power|Steamcraft,flaxbeardssteampower|FSP蒸汽动力|FSP
fsit|fsit|FSit|
fsit|fsit|FSit - 已停更|
ftb-banners-forge|ftbbanners|FTB Banners|
|ftbchecker|FTB Checker|
ftb-chunks-compatibility-mod|ftbchunkscompatibility|FTB Chunks Compatibility|
ftb-chunks-recoloured|ftbchunks_modded|FTB Chunks Modded Support|
ftb-dripper-forge|ftbdripper|FTB Dripper|
ftb-essentials|ftbessentials|FTB Essentials|FTBE
ftb-filter-system|ftbfiltersystem|FTB Filter System|FFS
ftb-guides-forge|ftbguides|FTB Guides|
ftb-guides-legacy-forge|ftbguideslegacyforge|FTB Guides - 旧版|
ftb-jei-extras|ftbjeiextras|FTB JEI Extras|
ftb-jar-mod-forge|ftbjarmod|FTB Jar Mod|
ftb-library-legacy-forge|FTBL,ftbl,ftblib|FTB Library (旧版)|FTBL
ftb-library-forge|ftbguilibrary,ftblibrary|FTB Library / FTB GUI Library|
ftb-library-legacy-forge|ftblibrarylegacyforge|FTB Library（旧版）|
ftb-materials|ftbmaterials|FTB Materials|
ftb-ocean-mobs|ftboceanmobs|FTB Ocean Mobs|
ftb-pack-companion|ftbpc|FTB Pack Companion|
ftb-pause-menu-api|ftbpmapi|FTB Pause Menu API|
ftb-power-pots|ftb-power-pots|FTB Power Pots (Forge)|
ftb-quest-localizer|ftbquestlocalizer|FTB Quest 本地化|FTBQL
ftb-quests-optimizer|ftbqoptimizer,ftbquestsoptimizer|FTB Quests Optimizer|
|ftbconv|FTB Quests: Localization Keys Refabricated|
ftb-quests-localization-keys|ftbconv|FTB Quests: Localization keys|
ftb-ranks|ftbranks|FTB Ranks|FTBR
ftb-rickety-water-wheel|ftbricketyww|FTB Rickety Water Wheel|
|ftbschools|FTB School|
ftb-sluice|ftbsluice|FTB Sluice|
ftb-stoneblock-companion|ftbsbc|FTB StoneBlock Companion|
ftb-stuff-things|ftbstuff|FTB Stuff & Things|
ftb-team-bases|ftbteambases|FTB Team Bases|
ftb-team-dimensions|ftbteamdimensions|FTB Team Dimensions|
ftb-team-islands-forge|ftbteamislands|FTB Team Islands|
ftb-tutorial-mod-forge|ftbtutorialmod|FTB Tutorial Mod|
ftb-xmod-compat|ftbxmodcompat|FTB XMod Compat|
ftb-money|ftbmoney|FTB 交易|FTBM
ftb-chunks-fabric,ftb-chunks-forge|ftbchunks,ftbchunksfabric,ftbchunksforge|FTB 区块|FTBC
ftb-teams-fabric,ftb-teams-forge|ftbteams,ftbteamsfabric,ftbteamsforge|FTB 团队|
ftb-backups-3|ftbbackups3|FTB 备份 3|
ftb-utilities|FTBU,ftbu,ftbutilities|FTB 实用工具|FTBU
|ftbmoney|FTB交易 延续版|FTBML
ftb-quests-fabric,ftb-quests-forge|ftbquests,ftbquestsfabric,ftbquestsforge|FTB任务|FTBQ
ftb-quests-freeze-fix|ftbquestsfreezefix|FTB任务冻结修复|
re-ftbqkeys|ftbqkeys,ftbqlocalkeys,reftbqkeys|FTB任务本地化键：重置|Re-FTBQKeys
ftb-backups-forge|ftbbackups,ftbbackupsforge|FTB备份|
ftb-backups-2|ftbbackups2|FTB备份2|
ftb-industrial-contraptions|ftbic,ftbindustrialcontraptions|FTB工业奇械|FTBIC
fuzzymobs|fuzzymobs|FUZZYMOBS|
fxs-rail-optimization|rail_optimization|FX's Rail Optimization|
fzmm|fzmm|FZMM|
|fzsd|FZ生存数据包|FZSD
fabled-weaponry|fabled_weaponry|Fabled Weaponry|
fabrihud|fabrihud|FabriHUD|
fabrizoom|fabrizoom|FabriZoom|
fabric-api|fabric,fabric-api|Fabric API|
fabric-core-mods|gud_fcm|Fabric Core Mods|FCM
fabric-enchantments|fabricenchantments|Fabric Enchantments|
fabric-furnaces|fabric-furnaces|Fabric Furnaces|
|fabric-hammers|Fabric Hammers|
fabric-hider|fabric_hider|Fabric Hider|
|fabric_kotlin_extensions|Fabric Kotlin Extensions|
fabric-language-kotlin|fabric-language-kotlin|Fabric Language Kotlin|
fabric-language-scala|fabric-language-scala|Fabric Language Scala|
|fabricloader|Fabric Loader|
fabric-musica|musica|Fabric Musica|
|foml|Fabric OBJ Model Loader|FOML
fabric-orm-jimmer|fabric-orm-jimmer|Fabric ORM Jimmer|
|fabric-permissions-api-v0|Fabric Permissions API|
fabric-seasons|seasons|Fabric Seasons|
fabric-seasons-byg-compat|seasonsbygcompat|Fabric Seasons: BYG Compat|
fabric-seasons-croptopia-compat|seasonscroptopiacompat|Fabric Seasons: Croptopia Compat|
fabric-seasons-delight-compat|seasonsdelightcompat|Fabric Seasons: Delight Compat|
fabric-seasons-terraformers-compat|seasonsterraformerscompat|Fabric Seasons: Terraformers Compat|
fabric-seasons-terralith-compat|seasonsterralithcompat|Fabric Seasons: Terralith Compat|
fabric-seasons-extras|fabricseasonsextras,seasonsextras|Fabric Seasons: 拓展|
fabric-shield-lib|fabricshieldlib|Fabric Shield Lib|
fabric-title-changer|ftc|Fabric Title Changer|
fabric-trade|trade|Fabric Trade|
|fabric-yaml-configuration|Fabric Yaml Configuration|
fabric-zero|fabriczero|Fabric Zero|
fabric-for-fabric|fabricforfabric|Fabric for Fabric|
fabric-waystones,fwaystones|fabricwaystones,fwaystones|Fabric 版传送石碑|
fabricproxy|fabricproxy|Fabric 群组支持|
fabrics-biome-api-reforged|fabric_biome_api|Fabric's Biome API Reforged|
fabricproxy-lite|fabricproxy-lite|FabricProxy-Lite|
|fabricaeexnihilo|Fabricae Ex Nihilo|FEN
fabricated-exchange|fabricated-exchange|Fabricated Exchange|
|fabricated-forge|Fabricated Legacy Forge|
|fabricated-rift|Fabricated Rift|
fabrication|fabrication|Fabrication|
open-elevator-fabric|elevator233,openelevatorfabric|Fabric版开放式电梯|
biome-modifier-for-fabric|biome_modifier,biomemodifierforfabric|Fabric版群系编辑器|BM
fabric-tickratechanger-mod|fabrictickratechangermod|Fabric版运算变速|
fabridge|fabridge|Fabridge|
fabulous-blades|fabulous_blades|Fabulous Blades|
fabulous-fletching|fabulousfletching|Fabulous Fletching|
|fabwork|Fabwork|
face-stealer|skinscary|Face Stealer|
facehugger|facehugger|Facehugger|
factioncraft|faction_craft|FactionCraft|
factory-api|factory_api|Factory API|
factory0-resources||Factory0 Resources|
fade-in-chunks|fadeinchunks|Fade In Chunks|
fadeless|fadeless|Fadeless|
fading-night-vision|fadingnightvision|Fading Night Vision|
fairy-mythical-origins|fairy|Fairy - Mythical Origins|
fairy-dragons|dragonmod|Fairy Dragons!|
fairy-factions-revived|fairyfactions|Fairy Factions Revived|
faithfulbackrooms|faithfulbackrooms|Faithful Backrooms|
|faithfulmace|Faithful Mace|
|fake-floader|Fake Fabric Loader|
fake-ores|fakeores|Fake Ores|
fake-player|fakeplayers|Fake Players|
|fv|FakeVanilla|FV
fakerlib|fakerlib|FakerLib|
falcons-single-person-sleep|singlepersonsleep|Falcon's Single Person Sleep|
fall-damage-indicator|fdi|Fall Damage Indicator|
fallflyinglib|fallflyinglib|FallFlyingLib|
|mr_fallen_fungus|Fallen Fungus|
fallen-gems-affixes|fallen_gems_affixes|Fallen Gems & Affixes|
fallen-log-hideout|fallen_log_hideout|Fallen Log Hideout|
fallen-paladins-and-priests|fpapmod|Fallen Paladins and Priests|
fallen-wizards-more-magic-series|fallenwizardsmod|Fallen Wizards|
fallenflowers-server-economy|server_economy|Fallenflower的服务器经济|FFSE
falling-attack|fallingattack|Falling Attack|
